          11  0.10600000000000000      -0.67200000000000004     
          12   5.8000000000000003E-002 -0.80000000000000004     
          13   2.8000000000000001E-002 -0.90000000000000002     
          14   1.4000000000000000E-002 -0.96799999999999997     
          15  -5.8000000000000003E-002  -1.0320000000000000     
          16 -0.10800000000000000       -1.1040000000000001     
          17 -0.20000000000000001       -1.0960000000000001     
          18 -0.18200000000000000       -1.2200000000000000     
          19 -0.17000000000000001       -1.1639999999999999     
          20 -0.17599999999999999       -1.1439999999999999     
          21 -0.19000000000000000       -1.1639999999999999     
          22 -0.17199999999999999       -1.0520000000000000     
          23 -0.22000000000000000       -1.2120000000000000     
          24 -0.17999999999999999       -1.1599999999999999     
          25 -0.23400000000000001       -1.0840000000000001     
          26 -0.21400000000000000       -1.0720000000000001     
          27 -0.22400000000000000       -1.0280000000000000     
          28 -0.25600000000000001       -1.1319999999999999     
          29 -0.20200000000000001       -1.0680000000000001     
          30 -0.25000000000000000       -1.2560000000000000     
          31 -0.32400000000000001       -1.3520000000000001     
          32 -0.36599999999999999       -1.3360000000000001     
          33 -0.43800000000000000       -1.4279999999999999     
          34 -0.49600000000000000       -1.3839999999999999     
          35 -0.52000000000000002       -1.5280000000000000     
          36 -0.55000000000000004       -1.5280000000000000     
          37 -0.53800000000000003       -1.5040000000000000     
          38 -0.60399999999999998       -1.6279999999999999     
          39 -0.64600000000000002       -1.7000000000000000     
          40 -0.62400000000000000       -1.5600000000000001     
          41 -0.56599999999999995       -1.4600000000000000     
          42 -0.58399999999999996       -1.5000000000000000     
          43 -0.60999999999999999       -1.5240000000000000     
          44 -0.61599999999999999       -1.5800000000000001     
          45 -0.66000000000000003       -1.6879999999999999     
          46 -0.58799999999999997       -1.4319999999999999     
          47 -0.57999999999999996       -1.4720000000000000     
          48 -0.54800000000000004       -1.4239999999999999     
          49 -0.61199999999999999       -1.6120000000000001     
          50 -0.59799999999999998       -1.5440000000000000     
          51 -0.64400000000000002       -1.5960000000000001     
          52 -0.65400000000000003       -1.7000000000000000     
          53 -0.69999999999999996       -1.7520000000000000     
          54 -0.71199999999999997       -1.7680000000000000     
          55 -0.70799999999999996       -1.8000000000000000     
          56 -0.71399999999999997       -1.7720000000000000     
          57 -0.69599999999999995       -1.7240000000000000     
          58 -0.70599999999999996       -1.8080000000000001     
          59 -0.66200000000000003       -1.6919999999999999     
          60 -0.74199999999999999       -1.8999999999999999     
          61 -0.71799999999999997       -1.7640000000000000     
